Order_ID,Customer_ID,Order_Date,Product_ID,Product_Category,Product_Name,Unit_Price,Quantity,Discount,Payment_Method,Shipping_Method,Shipping_Cost,Order_Status,Customer_Age,Customer_Gender,Region,Customer_Rating,Ship_Date,City,Total_Amount
ORD0011,CUST4565,2023-05-06,PROD085,家居,產品26,25.48,7.0,0.03,,次日達,27.01,已完成,65.0,未指定,,2.0,2023-05-09,台東,173.01
ORD0012,CUST5827,2025-01-23,PROD063,美妝,產品40,970.06,5.0,0.26,PayPal,次日達,24.7,,35.0,女,中部,4.0,2025-01-26,台中,3589.22
ORD0013,CUST2985,2023-05-05,PROD014,服飾,產品7,833.28,11.0,0.15,貨到付款,次日達,25.67,已完成,76.0,男,南部,,2023-05-13,台南,7791.17
ORD0014,CUST2538,2024-04-21,PROD048,服飾,產品41,216.28,15.0,0.24,信用卡,次日達,8.2,已完成,65.0,,南部,1.0,2024-04-25,台南,2465.59
ORD0015,CUST8171,2024-11-10,PROD039,美妝,產品29,185.92,3.0,0.11,PayPal,次日達,23.17,已取消,,男,南部,3.0,2024-11-13,台南,496.41
ORD0016,CUST8626,2023-10-02,PROD027,家居,,187.49,5.0,0.04,行動支付,標準,30.28,已退貨,21.0,男,東部,3.0,2023-10-11,台東,899.95
ORD0017,CUST1366,2023-02-28,PROD068,,,307.72,5.0,0.01,行動支付,標準,24.47,已取消,50.0,未指定,南部,1.0,2023-03-01,高雄,1523.21
ORD0018,CUST2907,2023-08-26,PROD001,美妝,產品1,527.13,9.0,0.08,PayPal,快遞,24.43,已完成,31.0,未指定,中部,1.0,2023-09-03,台中,4364.64
ORD0019,CUST7408,2023-07-24,PROD032,服飾,產品41,434.79,,0.07,貨到付款,快遞,3.88,,61.0,未指定,中部,5.0,2023-08-01,彰化,6065.32
ORD0020,CUST7589,,PROD088,美妝,產品49,294.77,3.0,0.17,貨到付款,快遞,9.54,已退貨,73.0,女,中部,5.0,2025-01-19,台中,733.98
ORD0021,CUST8827,2023-08-18,PROD062,家居,產品12,613.79,6.0,0.01,PayPal,標準,16.05,已完成,59.0,男,中部,2.0,2023-08-28,彰化,3645.91
ORD0022,CUST5759,2024-06-06,PROD057,家居,,143.8,17.0,0.16,行動支付,次日達,20.97,,49.0,男,南部,,2024-06-12,高雄,2053.46
ORD0023,CUST3759,2025-03-03,PROD035,電子產品,產品25,295.68,8.0,0.12,貨到付款,次日達,,已退貨,77.0,女,東部,3.0,2025-03-08,台東,2081.59
ORD0024,CUST9908,2023-01-22,PROD012,美妝,,369.53,11.0,0.17,PayPal,次日達,43.17,已取消,68.0,未指定,南部,1.0,2023-01-27,台南,3373.81
ORD0025,CUST2656,2023-11-25,PROD071,電子產品,產品27,458.79,6.0,0.21,PayPal,次日達,7.96,處理中,,未指定,,3.0,2023-12-03,高雄,2174.66
ORD0026,CUST8431,,PROD045,電子產品,產品42,,8.0,0.19,行動支付,快遞,0.75,已退貨,21.0,未指定,南部,5.0,2024-07-17,台南,5094.9
ORD0027,CUST2091,2024-07-21,PROD053,服飾,產品36,203.68,10.0,0.3,PayPal,次日達,22.46,已退貨,37.0,女,南部,4.0,2024-07-26,高雄,1425.76
ORD0028,CUST2180,2024-12-02,PROD083,家居,產品27,516.66,3.0,0.04,行動支付,次日達,21.61,已完成,38.0,未指定,南部,5.0,2024-12-04,高雄,1487.98
ORD0029,CUST3493,2023-02-19,,美妝,產品21,594.45,14.0,0.13,貨到付款,次日達,27.6,已取消,20.0,女,中部,4.0,2023-02-25,台中,7240.4
ORD0030,CUST6966,2023-01-10,PROD062,美妝,產品23,51.22,14.0,0.13,信用卡,標準,,處理中,42.0,未指定,東部,1.0,,花蓮,623.86
ORD0031,CUST9032,2023-12-26,PROD001,家居,,609.51,10.0,0.13,,標準,40.12,已退貨,21.0,女,東部,1.0,2024-01-04,台東,5302.74
ORD0032,CUST2012,2023-01-22,PROD100,電子產品,產品6,174.67,12.0,0.2,貨到付款,標準,,處理中,79.0,女,東部,1.0,2023-02-01,花蓮,1676.83
ORD0033,,2023-09-16,,家居,產品8,69.73,6.0,0.15,信用卡,次日達,46.7,,75.0,男,,2.0,2023-09-24,花蓮,
ORD0034,CUST4748,2024-07-02,PROD010,服飾,產品32,,12.0,0.16,信用卡,標準,,處理中,64.0,女,中部,2.0,2024-07-05,,9567.33
ORD0035,CUST7239,2025-03-09,PROD071,電子產品,產品7,965.8,,0.13,信用卡,次日達,31.73,已退貨,,女,中部,,2025-03-12,台中,11763.44
ORD0036,CUST1903,2023-04-01,,電子產品,產品14,809.36,2.0,,行動支付,,33.62,已取消,33.0,男,東部,3.0,2023-04-04,台東,1133.1
ORD0037,CUST3202,2024-11-14,PROD012,美妝,產品21,308.09,9.0,0.28,貨到付款,標準,,處理中,,女,,3.0,2024-11-17,高雄,1996.42
ORD0038,CUST7362,2023-04-16,PROD039,服飾,產品18,102.18,10.0,0.09,行動支付,次日達,13.27,,,男,中部,4.0,2023-04-21,彰化,929.84
ORD0039,CUST7216,,PROD086,,,685.81,17.0,,貨到付款,快遞,16.52,已取消,23.0,男,南部,2.0,2024-11-22,台南,11309.01
ORD0040,CUST2897,2024-07-02,PROD050,電子產品,產品31,442.95,17.0,0.25,PayPal,次日達,27.43,處理中,48.0,未指定,東部,5.0,2024-07-10,花蓮,5647.61
ORD0041,CUST2723,2024-04-01,PROD043,電子產品,,126.43,3.0,0.3,信用卡,快遞,9.98,已完成,57.0,未指定,北部,4.0,2024-04-06,新竹,265.5
ORD0042,CUST8343,2023-01-24,PROD072,,產品6,,19.0,0.09,信用卡,快遞,,已完成,30.0,男,,3.0,2023-01-27,,8605.23
ORD0043,CUST6594,2023-10-20,,電子產品,產品31,39.22,1.0,0.11,行動支付,,28.11,處理中,40.0,未指定,南部,,,高雄,
ORD0044,CUST9332,2023-07-05,,,產品5,909.77,12.0,0.28,行動支付,快遞,23.26,已退貨,69.0,女,東部,4.0,2023-07-10,花蓮,7860.41
ORD0045,CUST6949,,PROD074,服飾,產品24,262.49,7.0,0.21,PayPal,標準,32.84,已退貨,21.0,未指定,北部,1.0,2024-05-22,基隆,1451.57
ORD0046,,2023-05-03,PROD087,家居,,664.21,4.0,0.09,PayPal,快遞,7.34,已取消,54.0,未指定,北部,2.0,2023-05-13,,2417.72
ORD0047,CUST8661,2023-09-07,PROD027,,產品27,315.15,10.0,0.17,行動支付,標準,42.05,已完成,59.0,未指定,東部,1.0,2023-09-12,花蓮,2615.74
ORD0048,CUST3546,,PROD095,服飾,產品14,522.47,13.0,0.28,行動支付,標準,7.31,已取消,54.0,未指定,中部,2.0,2023-05-21,彰化,4890.32
ORD0049,,,PROD043,美妝,產品35,548.98,2.0,0.24,PayPal,,44.57,已退貨,61.0,女,北部,4.0,2023-10-01,新竹,834.45
ORD0050,CUST2938,2024-04-26,PROD069,美妝,產品29,188.93,10.0,0.22,行動支付,標準,,已完成,50.0,未指定,,2.0,2024-05-03,台北,1473.65
ORD0051,CUST3007,2023-03-26,PROD040,電子產品,產品26,,4.0,0.22,PayPal,,,已取消,78.0,男,北部,3.0,2023-04-04,,3025.59
ORD0052,CUST1621,2024-10-16,PROD050,服飾,產品34,776.26,18.0,0.05,信用卡,快遞,44.83,處理中,73.0,男,東部,1.0,2024-10-23,台東,
ORD0053,CUST5237,2023-09-10,PROD055,美妝,產品49,939.8,5.0,,行動支付,快遞,15.0,處理中,,女,北部,,2023-09-12,基隆,3524.25
ORD0054,CUST5807,2024-07-28,PROD052,電子產品,產品36,895.35,19.0,0.08,行動支付,標準,9.09,已取消,46.0,女,北部,3.0,2024-08-02,台北,15650.72
ORD0055,CUST7982,2023-01-29,PROD002,電子產品,,599.91,2.0,0.28,貨到付款,快遞,22.29,已完成,54.0,女,南部,,2023-01-30,高雄,863.87
ORD0056,CUST4156,2025-01-22,PROD074,服飾,產品20,922.26,12.0,0.11,貨到付款,標準,12.22,處理中,36.0,未指定,北部,2.0,2025-01-30,新竹,9849.74
ORD0057,CUST4258,2024-01-17,PROD040,,產品42,93.05,17.0,0.26,貨到付款,標準,26.39,已取消,68.0,男,東部,3.0,2024-01-27,台東,1170.57
ORD0058,CUST5830,2023-05-25,PROD079,美妝,產品14,200.0,,0.08,PayPal,快遞,13.76,已完成,37.0,未指定,北部,2.0,2023-05-28,台北,1840.0
ORD0059,CUST5749,2024-08-18,PROD079,家居,產品42,50.0,2.0,,,快遞,43.22,處理中,49.0,未指定,南部,1.0,2024-08-19,台南,85.0
ORD0060,,2024-12-23,PROD030,服飾,產品30,328.7,6.0,0.03,貨到付款,標準,30.37,,61.0,男,中部,5.0,2024-12-29,,1913.03
ORD0061,CUST8298,2024-06-19,PROD040,家居,產品20,391.73,8.0,,行動支付,標準,0.01,已退貨,,未指定,,2.0,2024-06-23,台南,2507.07
ORD0062,CUST4253,2023-08-06,PROD056,,產品33,274.99,,0.25,,次日達,40.27,已取消,33.0,未指定,中部,4.0,2023-08-09,彰化,3918.61
ORD0063,CUST8123,2024-02-07,PROD045,家居,產品30,829.59,11.0,0.22,行動支付,次日達,16.51,已完成,22.0,女,南部,,,高雄,7117.88
ORD0064,CUST6566,2024-02-06,PROD041,家居,產品21,359.97,12.0,0.16,信用卡,標準,16.01,,66.0,女,中部,4.0,2024-02-13,彰化,3628.5
ORD0065,CUST8523,2023-07-15,PROD039,電子產品,產品41,284.53,9.0,0.01,貨到付款,標準,,已完成,63.0,女,東部,2.0,2023-07-25,花蓮,2535.16
ORD0066,CUST7726,2023-07-20,PROD086,家居,產品5,544.98,2.0,0.28,貨到付款,快遞,31.51,已完成,29.0,未指定,南部,2.0,2023-07-24,高雄,
ORD0067,CUST4415,2024-09-26,PROD083,,產品35,145.22,8.0,0.21,貨到付款,快遞,22.1,已完成,62.0,未指定,,4.0,2024-09-29,彰化,917.79
ORD0068,CUST7696,2025-01-13,PROD048,家居,產品1,803.19,11.0,0.22,信用卡,標準,31.43,已退貨,,女,北部,1.0,,,6891.37
ORD0069,CUST4599,2023-01-22,PROD084,美妝,產品18,79.18,4.0,0.24,貨到付款,快遞,7.34,已退貨,31.0,未指定,中部,5.0,2023-01-29,彰化,
ORD0070,CUST9453,2023-09-13,PROD034,電子產品,產品11,986.95,10.0,0.22,信用卡,快遞,48.51,已完成,54.0,未指定,南部,5.0,2023-09-15,台南,7698.21
ORD0071,,,PROD009,電子產品,產品48,773.38,,,行動支付,快遞,36.48,已退貨,39.0,男,中部,1.0,2025-01-21,台中,13456.81
ORD0072,CUST6134,2023-04-01,,家居,產品47,202.72,16.0,0.22,貨到付款,標準,12.51,已完成,47.0,男,中部,2.0,2023-04-09,台中,
ORD0073,CUST7679,2024-01-31,PROD024,服飾,產品41,10.49,8.0,0.19,,次日達,36.21,已完成,40.0,女,東部,,,台東,67.98
ORD0074,CUST3395,2025-02-26,PROD099,家居,產品39,816.38,4.0,0.26,PayPal,次日達,28.75,已退貨,22.0,女,,1.0,2025-03-05,新竹,2416.48
ORD0075,CUST3754,2025-03-14,PROD004,服飾,產品29,,10.0,0.24,PayPal,快遞,5.46,處理中,80.0,女,北部,1.0,2025-03-23,新竹,5383.23
ORD0076,CUST2006,,PROD100,家居,產品33,730.36,12.0,,貨到付款,標準,8.91,已退貨,46.0,女,東部,5.0,2025-02-19,花蓮,8676.68
ORD0077,CUST7378,2024-05-30,PROD038,電子產品,,,14.0,0.11,行動支付,快遞,2.07,已退貨,76.0,未指定,北部,4.0,2024-06-01,基隆,9624.23
ORD0078,CUST3322,2024-07-26,PROD047,家居,產品11,78.67,16.0,0.01,貨到付款,標準,40.46,已完成,47.0,,中部,3.0,2024-07-27,彰化,1246.13
ORD0079,CUST3035,2023-10-26,PROD061,電子產品,產品48,361.67,18.0,0.03,貨到付款,次日達,27.59,,35.0,未指定,中部,4.0,,台中,
ORD0080,CUST1467,2023-07-28,PROD022,美妝,產品1,120.29,12.0,,PayPal,標準,15.84,已取消,63.0,男,北部,2.0,,基隆,1183.65
ORD0081,CUST3237,2023-02-25,PROD090,,產品8,863.79,18.0,0.26,PayPal,次日達,6.32,處理中,67.0,男,東部,4.0,2023-03-01,花蓮,11505.68
ORD0082,CUST3407,2023-09-29,PROD092,美妝,,625.18,7.0,0.04,行動支付,標準,24.2,處理中,78.0,女,中部,3.0,2023-09-30,彰化,4201.21
ORD0083,CUST5037,2023-08-08,PROD094,,產品16,334.24,20.0,0.14,貨到付款,快遞,26.26,處理中,69.0,未指定,北部,3.0,2023-08-09,基隆,5748.93
ORD0084,CUST6870,2025-01-21,PROD064,電子產品,產品45,68.24,7.0,0.27,,標準,,已退貨,18.0,,南部,1.0,2025-01-23,台南,348.71
ORD0085,,2024-03-25,PROD028,電子產品,產品19,314.43,9.0,0.24,貨到付款,標準,48.5,已完成,,女,中部,2.0,2024-03-30,彰化,2150.7
ORD0086,CUST1692,2023-03-30,PROD032,電子產品,產品36,328.56,1.0,0.16,行動支付,次日達,21.75,處理中,78.0,男,北部,1.0,2023-04-06,基隆,275.99
ORD0087,CUST3613,2025-03-13,PROD015,服飾,產品40,730.96,6.0,0.23,,快遞,20.3,已退貨,34.0,男,北部,4.0,2025-03-19,新竹,3377.04
ORD0088,CUST3378,2024-02-16,PROD074,家居,產品45,639.37,6.0,0.16,貨到付款,快遞,,處理中,20.0,未指定,南部,4.0,2024-02-20,台南,3222.42
ORD0089,CUST8526,2023-07-28,PROD031,服飾,產品47,887.78,12.0,0.05,PayPal,標準,41.35,已完成,59.0,男,南部,5.0,2023-08-03,,10120.69
ORD0090,CUST5080,,PROD021,家居,產品23,,12.0,0.04,貨到付款,,7.82,已退貨,24.0,男,東部,1.0,2023-06-12,花蓮,5470.27
ORD0091,CUST3193,2023-12-22,,,產品28,124.0,10.0,0.06,行動支付,標準,17.19,已退貨,,女,中部,1.0,2023-12-28,台中,1165.6
ORD0092,CUST2422,2025-03-16,PROD098,,產品14,714.68,6.0,0.11,貨到付款,次日達,,已取消,45.0,女,北部,1.0,2025-03-17,基隆,
ORD0093,CUST7574,2024-04-13,PROD032,服飾,產品47,761.98,17.0,0.28,信用卡,快遞,0.78,已完成,61.0,未指定,北部,1.0,2024-04-23,台北,9326.64
ORD0094,CUST7198,2024-05-22,PROD073,家居,產品37,563.47,,0.24,信用卡,次日達,14.47,,71.0,男,南部,,,高雄,8136.51
ORD0095,CUST3940,2024-10-22,,,產品18,772.11,,0.13,信用卡,標準,32.07,已取消,48.0,未指定,中部,5.0,,彰化,12091.24
ORD0096,CUST2051,2023-09-05,PROD098,美妝,產品50,496.33,6.0,0.15,,次日達,9.3,已取消,,男,北部,2.0,2023-09-15,新竹,2531.28
ORD0097,CUST7931,2023-06-29,PROD025,服飾,產品29,,19.0,0.08,貨到付款,次日達,15.14,已完成,72.0,女,東部,2.0,2023-07-09,台東,9179.1
ORD0098,CUST7453,2024-12-02,,,產品42,430.4,10.0,0.21,信用卡,,24.3,處理中,70.0,男,東部,2.0,2024-12-12,台東,3400.16
ORD0099,CUST2874,2024-07-19,PROD054,家居,產品40,30.29,8.0,0.24,貨到付款,快遞,,已完成,,男,北部,3.0,2024-07-25,新竹,184.16
ORD0100,CUST2812,2025-03-13,PROD074,電子產品,產品7,112.35,,0.07,信用卡,標準,5.3,已退貨,25.0,男,南部,5.0,2025-03-23,台南,626.91
ORD0101,CUST7949,2023-05-12,PROD019,家居,產品47,36.27,7.0,0.01,行動支付,次日達,46.91,,23.0,男,南部,5.0,2023-05-13,,251.35
ORD0102,CUST9959,2023-03-06,PROD012,美妝,產品50,638.23,1.0,0.19,PayPal,標準,2.21,處理中,45.0,女,北部,3.0,2023-03-07,新竹,516.97
ORD0103,CUST7467,2023-05-17,PROD022,,產品11,317.78,18.0,0.17,,標準,37.49,處理中,21.0,未指定,,1.0,2023-05-19,台中,4747.63
ORD0104,CUST7215,2024-04-29,PROD089,美妝,產品34,511.03,20.0,0.12,行動支付,次日達,3.57,處理中,47.0,未指定,東部,4.0,2024-05-01,台東,8994.13
ORD0105,CUST9463,2025-01-18,PROD068,美妝,產品20,908.03,12.0,0.19,PayPal,快遞,23.36,已完成,60.0,未指定,東部,1.0,2025-01-19,,
ORD0106,CUST2828,2023-09-05,PROD077,服飾,產品11,253.05,16.0,0.17,PayPal,次日達,8.77,,34.0,未指定,中部,2.0,2023-09-15,彰化,3360.5
ORD0107,CUST5475,2023-12-17,PROD088,家居,產品20,413.33,10.0,0.08,貨到付款,次日達,7.05,已取消,,女,東部,1.0,2023-12-27,台東,3802.64
ORD0108,CUST5173,2023-11-12,PROD066,服飾,產品44,,10.0,0.12,信用卡,標準,6.29,已退貨,77.0,男,南部,3.0,2023-11-17,,6659.58
ORD0109,CUST9587,2023-07-01,,服飾,產品17,232.65,14.0,0.13,PayPal,標準,22.64,處理中,23.0,未指定,北部,2.0,2023-07-02,台北,
ORD0110,,,PROD059,家居,,81.6,20.0,,,標準,25.77,已完成,53.0,未指定,南部,4.0,2023-05-11,高雄,1207.68
ORD0111,CUST6372,2025-01-24,PROD065,服飾,產品23,293.3,10.0,0.29,PayPal,快遞,6.67,已退貨,52.0,,中部,2.0,2025-01-31,台中,2082.43
ORD0112,,2024-01-01,PROD080,,產品12,165.42,10.0,0.27,信用卡,快遞,48.97,處理中,56.0,未指定,中部,,2024-01-09,,1207.57
ORD0113,CUST4007,,PROD086,美妝,產品34,930.05,11.0,0.22,貨到付款,次日達,,處理中,56.0,,南部,5.0,2023-11-05,台南,7979.83
ORD0114,CUST3738,2023-09-06,PROD044,電子產品,產品14,809.08,,0.18,貨到付款,快遞,22.94,已退貨,33.0,未指定,北部,5.0,2023-09-13,台北,1326.89
ORD0115,CUST4478,2024-04-08,PROD017,家居,產品42,635.24,20.0,0.21,信用卡,次日達,10.81,處理中,19.0,未指定,東部,5.0,2024-04-11,花蓮,10036.79
ORD0116,CUST5592,2023-10-03,PROD010,美妝,產品35,872.1,8.0,0.28,信用卡,標準,,已退貨,25.0,未指定,,2.0,2023-10-08,彰化,5023.3
ORD0117,CUST2741,2024-10-09,PROD067,美妝,產品16,804.65,7.0,,貨到付款,次日達,37.8,已完成,32.0,男,北部,5.0,2024-10-19,新竹,5238.27
ORD0118,CUST3738,2024-10-25,PROD030,家居,產品30,190.64,8.0,0.16,信用卡,次日達,26.06,,80.0,女,北部,3.0,2024-11-02,新竹,1281.1
ORD0119,CUST3122,2024-07-08,PROD001,電子產品,,893.1,1.0,0.21,,標準,14.28,已退貨,44.0,,中部,4.0,2024-07-15,彰化,705.55
ORD0120,CUST8511,,,服飾,產品43,541.65,2.0,0.2,信用卡,標準,,已取消,,男,,5.0,2024-10-19,花蓮,866.64
ORD0121,CUST5478,,PROD076,服飾,產品14,808.4,,0.08,行動支付,標準,37.95,處理中,18.0,女,南部,,2024-04-30,高雄,13387.1
ORD0122,CUST6428,,PROD054,美妝,產品30,896.61,15.0,0.18,信用卡,次日達,5.91,已完成,,女,南部,3.0,2024-05-02,台南,
ORD0123,CUST6163,2023-04-01,PROD001,家居,產品50,321.41,,0.24,信用卡,標準,,,27.0,男,北部,2.0,2023-04-10,台北,244.27
ORD0124,,2024-09-04,PROD093,美妝,產品46,114.5,5.0,0.14,貨到付款,次日達,,已退貨,,未指定,北部,,2024-09-08,新竹,492.35
ORD0125,CUST3329,2024-02-26,PROD023,美妝,產品26,231.8,2.0,0.24,,標準,12.9,,65.0,男,北部,4.0,2024-03-04,基隆,352.34
ORD0126,CUST7865,2024-03-18,PROD020,服飾,產品16,429.97,20.0,0.11,PayPal,快遞,7.63,已退貨,27.0,女,北部,4.0,2024-03-27,,7653.47
ORD0127,CUST5359,2024-08-19,PROD075,服飾,產品15,818.92,3.0,0.28,行動支付,快遞,44.34,已退貨,29.0,男,東部,1.0,2024-08-22,,1768.87
ORD0128,CUST5047,2024-04-13,PROD031,家居,產品29,861.43,,0.16,,快遞,36.6,,34.0,未指定,北部,4.0,2024-04-15,,13748.42
ORD0129,CUST8057,2023-10-01,PROD062,服飾,產品27,11.92,18.0,0.18,PayPal,標準,28.05,已取消,62.0,,南部,2.0,2023-10-09,台南,175.94
ORD0130,,2023-07-01,,美妝,產品17,513.19,18.0,0.01,信用卡,標準,11.22,處理中,29.0,未指定,東部,3.0,2023-07-06,花蓮,9145.05
ORD0131,CUST1842,2023-03-09,PROD057,服飾,產品13,420.32,14.0,0.05,行動支付,次日達,25.51,,32.0,未指定,北部,1.0,2023-03-13,新竹,5590.26
ORD0132,CUST7149,2024-05-08,PROD092,家居,產品3,226.0,8.0,0.19,PayPal,快遞,26.04,已取消,63.0,,北部,4.0,2024-05-13,台北,1464.48
ORD0133,CUST3591,,PROD016,家居,產品44,124.27,12.0,0.13,,標準,,處理中,68.0,未指定,東部,3.0,2023-08-25,台東,1297.38
ORD0134,CUST6360,2023-10-21,PROD086,家居,產品1,340.93,10.0,0.15,行動支付,快遞,3.0,已取消,49.0,女,東部,,2023-10-29,台東,2897.9
ORD0135,CUST9735,2023-12-05,PROD035,美妝,產品17,943.2,20.0,0.02,貨到付款,標準,48.65,處理中,49.0,,東部,,2023-12-07,台東,
ORD0136,CUST3800,2024-02-23,,家居,產品40,326.59,17.0,0.25,行動支付,標準,23.27,處理中,68.0,未指定,東部,1.0,2024-03-03,花蓮,4164.02
ORD0137,CUST1241,2023-01-12,PROD035,服飾,產品50,521.2,11.0,0.24,行動支付,標準,46.33,處理中,43.0,男,北部,3.0,2023-01-16,基隆,4357.23
ORD0138,CUST6444,2025-01-11,PROD086,電子產品,產品22,704.5,2.0,0.06,PayPal,,0.49,已取消,31.0,男,中部,,2025-01-20,,1324.46
ORD0139,CUST5729,2024-04-21,PROD028,美妝,產品11,,4.0,0.19,貨到付款,,12.38,已退貨,67.0,男,南部,2.0,2024-04-29,台南,1188.46
ORD0140,CUST8771,2023-05-02,PROD077,電子產品,產品39,971.92,,0.25,行動支付,標準,5.2,已退貨,79.0,女,北部,1.0,2023-05-09,基隆,728.94
ORD0141,CUST6345,2023-11-20,PROD024,家居,產品29,962.64,,,PayPal,標準,,已取消,43.0,女,北部,1.0,,新竹,11696.08
ORD0142,CUST8474,2023-03-10,PROD061,服飾,產品43,255.52,13.0,0.09,PayPal,快遞,16.01,處理中,,未指定,北部,4.0,2023-03-13,台北,
ORD0143,,2024-05-14,PROD099,家居,產品50,,8.0,0.2,行動支付,標準,42.02,,22.0,男,中部,4.0,2024-05-17,台中,
ORD0144,CUST1613,,PROD019,服飾,產品7,304.37,4.0,0.06,貨到付款,標準,41.62,已退貨,69.0,男,北部,1.0,2025-02-07,新竹,1144.43
ORD0145,CUST7234,2024-06-29,PROD010,家居,產品26,288.42,10.0,0.1,PayPal,,33.39,已完成,78.0,女,,1.0,2024-07-07,,2595.78
ORD0146,CUST9853,2024-05-26,PROD005,美妝,產品6,41.7,19.0,0.07,貨到付款,快遞,33.29,已取消,,未指定,中部,3.0,2024-06-05,台中,736.84
ORD0147,CUST7861,2023-03-21,PROD026,電子產品,產品12,611.52,18.0,0.17,信用卡,次日達,35.01,已取消,67.0,男,中部,4.0,2023-03-22,彰化,9136.11
ORD0148,CUST9738,2025-03-26,PROD096,家居,產品17,505.17,5.0,0.03,行動支付,標準,33.69,已退貨,63.0,,南部,2.0,2025-03-30,,2450.07
ORD0149,,2023-12-25,PROD015,美妝,產品45,56.22,19.0,,行動支付,快遞,19.35,已完成,21.0,女,北部,4.0,2023-12-27,台北,769.09
ORD0150,CUST9624,2023-10-16,,家居,產品8,282.25,,0.1,行動支付,標準,34.14,,45.0,女,東部,4.0,2023-10-25,台東,4064.4
ORD0151,CUST7304,2023-09-26,PROD011,,產品26,908.72,1.0,0.07,PayPal,標準,44.87,已退貨,72.0,,,1.0,2023-09-27,高雄,845.11
ORD0152,CUST7541,2024-06-03,PROD080,家居,產品40,243.36,12.0,0.15,行動支付,快遞,16.63,已取消,,未指定,中部,1.0,2024-06-08,台中,2482.27
ORD0153,CUST1462,,PROD086,服飾,產品23,149.17,2.0,0.08,,次日達,47.24,處理中,30.0,女,南部,4.0,2024-10-02,台南,274.47
ORD0154,CUST5914,2024-05-11,PROD015,美妝,產品5,492.01,,0.16,信用卡,標準,0.68,,60.0,未指定,中部,,,台中,3306.31
ORD0155,CUST3021,2024-07-04,PROD007,家居,產品50,,18.0,0.1,行動支付,快遞,17.45,已取消,20.0,未指定,東部,5.0,2024-07-12,花蓮,15968.66
ORD0156,CUST5649,2024-06-19,PROD060,電子產品,產品42,245.84,16.0,0.04,PayPal,次日達,,已退貨,66.0,女,東部,4.0,2024-06-22,花蓮,3776.1
ORD0157,CUST5823,2024-03-15,PROD037,電子產品,產品36,673.77,5.0,,PayPal,標準,6.33,處理中,,未指定,南部,5.0,2024-03-24,高雄,3099.34
ORD0158,CUST3940,2024-12-01,PROD045,服飾,產品18,762.81,13.0,0.13,行動支付,快遞,40.77,已完成,42.0,女,北部,,2024-12-10,台北,
ORD0159,CUST1422,2024-04-03,,家居,產品25,241.45,19.0,0.01,貨到付款,標準,45.92,已退貨,59.0,女,東部,1.0,2024-04-13,台東,4541.67
ORD0160,,,PROD001,,產品46,729.58,3.0,0.23,信用卡,,,,,男,北部,1.0,2023-02-27,台北,1685.33
ORD0161,CUST8142,2024-06-26,PROD003,家居,產品7,370.94,8.0,0.19,行動支付,快遞,48.83,處理中,,男,,1.0,2024-06-29,基隆,2403.69
ORD0162,CUST7878,2023-04-08,PROD010,美妝,產品48,634.14,12.0,0.18,信用卡,快遞,10.82,處理中,30.0,女,中部,2.0,2023-04-13,台中,
ORD0163,CUST4308,2024-04-10,PROD018,,產品39,,2.0,,PayPal,次日達,7.04,已取消,69.0,未指定,東部,1.0,2024-04-11,花蓮,1067.4
ORD0164,CUST5451,2024-06-24,PROD079,美妝,產品49,538.1,11.0,0.18,PayPal,標準,26.04,已取消,61.0,男,南部,1.0,2024-07-04,台南,4853.66
